"loan_id","user_id","application_date","requested_amount","currency","est_credit_score","requested_term_months","loan_purpose","acquisition_channel","outcome"
17809,U10463,"2025-10-25",20100,GBP,658.0,24.0,Wedding,"",Rejected
25470,U35898,"2025-10-30",10450,GBP,621.0,24.0,"",Referral,Rejected
32121,U38435,"2025-11-03",500,GBP,704.0,12.0,"","",Granted
32541,U91855,"2025-10-31",8500,GBP,598.0,24.0,Wedding,"",Rejected
36479,U70419,"2025-12-13",8550,GBP,561.0,6.0,Car purchase,"",Granted
41794,U27320,"2025-10-18",750,GBP,640.0,12.0,Wedding,"",Rejected
44679,U34652,"2025-12-04",20000,GBP,516.0,24.0,Car purchase,"",Rejected
48152,U35222,"2025-11-18",25000,GBP,720.0,36.0,"","",Rejected
50145,U43416,"2025-10-17",14950,GBP,696.0,60.0,"","",Rejected
52581,U18137,"2025-11-05",600,GBP,599.0,6.0,Wedding,"",Granted
56287,U40716,"2025-10-31",2600,GBP,653.0,12.0,Car purchase,"",Granted
61135,U94508,"2025-11-05",6350,GBP,719.0,48.0,"","",Granted
61600,U68952,"2025-10-25",2300,GBP,766.0,12.0,Wedding,"",Granted
64287,U96501,"2025-10-03",16050,GBP,648.0,24.0,Car purchase,"",Granted
67116,U45520,"2025-10-24",3200,GBP,519.0,,"",Referral,Rejected
70168,U54696,"2025-12-01",17400,GBP,759.0,12.0,Wedding,"",Granted
72836,U54676,"2025-10-26",6100,GBP,605.0,48.0,"","",Granted
78937,U31624,"2025-10-14",4850,GBP,,36.0,"","",Granted
82119,U96332,"2025-12-13",23050,GBP,,12.0,"","",Granted
85795,U15499,"2025-12-12",7150,GBP,626.0,12.0,"",Referral,Rejected
86154,U34733,"2025-10-24",9150,GBP,841.0,60.0,"","",Granted
89254,U99009,"2025-11-02",11750,GBP,612.0,36.0,"","",Granted
91422,U16317,"2025-10-28",5950,GBP,611.0,24.0,"","",Rejected
10002,U24367,"2025-11-10",7050,GBP,588.0,36.0,Car purchase,Social Media Ads,Abandoned - No Documents Uploaded
10003,U77498,"2025-12-07",14600,GBP,723.0,60.0,Wedding,"",Granted
10005,U38927,"2025-11-02",8450,GBP,850.0,24.0,Home improvement,Organic Search,Granted
10012,U90480,"2025-10-22",7500,GBP,758.0,12.0,"",Organic Search,Abandoned - Document Issues
10018,U74382,"2025-10-10",25000,GBP,611.0,12.0,Medical expenses,Social Media Ads,Abandoned - No Documents Uploaded
10020,U92979,"2025-11-06",23500,GBP,768.0,6.0,Education / tuition,Organic Search,Granted
10024,U87927,"2025-11-15",2950,GBP,595.0,24.0,Education / tuition,Organic Search,Rejected
10037,U89501,"2025-12-01",12250,GBP,706.0,,Home improvement,Social Media Ads,Rejected
10038,U57208,"2025-12-28",13300,GBP,588.0,36.0,Education / tuition,Referral,Rejected
10041,U33750,"2025-11-20",7700,GBP,709.0,24.0,Business investment,Paid Search,Granted
10044,U88681,"2025-10-18",18800,GBP,710.0,6.0,Debt consolidation,Paid Search,Granted
10050,U55192,"2025-11-23",20400,GBP,690.0,12.0,Holiday / travel,"",Abandoned - Post Approval
10059,U74224,"2025-10-31",1300,GBP,589.0,36.0,Home improvement,Affiliate / Comparison Site,Rejected
10060,U81591,"2025-11-22",16900,GBP,850.0,48.0,Car purchase,Paid Search,Abandoned - No Documents Uploaded
10063,U93725,"2025-11-22",8300,GBP,676.0,12.0,Holiday / travel,Paid Search,Pending Disbursement
10066,U95081,"2025-11-19",8450,GBP,402.0,60.0,Holiday / travel,Social Media Ads,Rejected
10081,U68346,"2025-11-13",6250,GBP,,12.0,Wedding,Social Media Ads,Abandoned - No Documents Uploaded
10108,U74845,"2025-11-21",4200,GBP,683.0,24.0,Home improvement,Referral,Abandoned - No Documents Uploaded
10109,U68307,"2025-11-06",19900,GBP,678.0,48.0,Other / unspecified,Referral,Rejected
10110,U78854,"2025-11-23",11450,GBP,599.0,36.0,Home improvement,"",Rejected
10115,U62363,"2025-11-02",4750,GBP,,36.0,Home improvement,Paid Search,Rejected
10118,U94351,"2025-12-08",2350,GBP,,60.0,Wedding,Affiliate / Comparison Site,Abandoned - No Documents Uploaded
10121,U33704,"2025-11-30",16950,GBP,602.0,36.0,Debt consolidation,Paid Search,Abandoned - No Documents Uploaded
99983,U17357,"2025-12-12",4050,GBP,559.0,24.0,Wedding,"",Rejected
10134,U67755,"2025-12-19",11500,GBP,548.0,48.0,Medical expenses,Referral,Abandoned - No Documents Uploaded
10137,U31909,"2025-12-25",1200,GBP,604.0,36.0,Wedding,Paid Search,Rejected
10143,U50826,"2025-10-02",17800,GBP,750.0,36.0,Wedding,Social Media Ads,Granted
10144,U79573,"2025-11-10",6750,GBP,649.0,,Business investment,Social Media Ads,Rejected
10152,U53944,"2025-11-27",2050,GBP,688.0,12.0,Holiday / travel,Referral,Abandoned - No Documents Uploaded
10156,U78491,"2025-10-27",1250,GBP,773.0,12.0,Education / tuition,Affiliate / Comparison Site,Abandoned - No Documents Uploaded
10157,U48694,"2025-11-18",12750,GBP,606.0,6.0,Education / tuition,Paid Search,Abandoned - No Documents Uploaded
10161,U97982,"2025-12-15",4600,GBP,636.0,48.0,Home improvement,Affiliate / Comparison Site,Granted
10162,U76579,"2025-12-22",25000,GBP,698.0,48.0,Home improvement,Social Media Ads,Granted
10170,U68742,"2025-12-04",18650,GBP,671.0,12.0,Other / unspecified,Referral,Abandoned - No Documents Uploaded
10175,U86658,"2025-12-12",12250,GBP,528.0,24.0,Business investment,Affiliate / Comparison Site,Abandoned - No Documents Uploaded
10179,U49515,"2025-10-24",15300,GBP,547.0,48.0,Education / tuition,Social Media Ads,Abandoned - No Documents Uploaded
10180,U93016,"2025-10-30",21050,GBP,813.0,48.0,Education / tuition,Organic Search,Granted
10184,U17838,"2025-10-28",750,GBP,655.0,12.0,"",Paid Search,Granted
10190,U80250,"2025-12-04",25000,GBP,,24.0,Holiday / travel,Affiliate / Comparison Site,Abandoned - No Documents Uploaded
10195,U39500,"2025-10-05",14450,GBP,542.0,36.0,"",Referral,Abandoned - No Documents Uploaded
10198,U18633,"2025-11-16",21000,GBP,622.0,36.0,Wedding,Paid Search,Rejected
10204,U87268,"2025-11-04",750,GBP,793.0,24.0,Holiday / travel,Paid Search,Granted
10220,U91949,"2025-11-06",15750,GBP,708.0,24.0,Wedding,Paid Search,Rejected
10224,U57329,"2025-12-12",18400,GBP,603.0,24.0,Home improvement,Paid Search,Abandoned - No Documents Uploaded
10241,U30686,"2025-12-05",7700,GBP,675.0,12.0,Medical expenses,Paid Search,Rejected
10261,U73283,"2025-10-27",2050,GBP,491.0,12.0,Medical expenses,Affiliate / Comparison Site,Rejected
10266,U55939,"2025-11-13",12800,GBP,800.0,12.0,Car purchase,Organic Search,Abandoned - No Documents Uploaded
10272,U44134,"2025-10-09",5800,GBP,602.0,36.0,Home improvement,Direct / App Store,Abandoned - Document Issues
10276,U50370,"2025-12-02",25000,GBP,560.0,,Home improvement,Organic Search,Rejected
10282,U36658,"2025-11-04",5950,GBP,637.0,24.0,Debt consolidation,Organic Search,Abandoned - No Documents Uploaded
10292,U20322,"2025-12-29",14800,GBP,445.0,48.0,Debt consolidation,Paid Search,Rejected
10297,U65674,"2025-11-03",7200,GBP,,,Medical expenses,Organic Search,Abandoned - No Documents Uploaded
10299,U90553,"2025-11-14",6950,GBP,501.0,36.0,Holiday / travel,Affiliate / Comparison Site,Abandoned - No Documents Uploaded
10302,U11938,"2025-11-12",14700,GBP,667.0,12.0,Medical expenses,Affiliate / Comparison Site,Abandoned - Document Issues
10305,U98492,"2025-10-28",25000,GBP,634.0,60.0,"",Referral,Abandoned - No Documents Uploaded
10313,U77919,"2025-10-13",25000,GBP,669.0,24.0,Medical expenses,Social Media Ads,Granted
10327,U81461,"2025-10-18",3500,GBP,,48.0,Education / tuition,Social Media Ads,Granted
10333,U44343,"2025-11-09",1300,GBP,668.0,48.0,Holiday / travel,Paid Search,Rejected
10334,U87511,"2025-10-25",6200,GBP,589.0,36.0,Business investment,Social Media Ads,Rejected
10336,U95187,"2025-11-09",750,GBP,752.0,12.0,Wedding,Direct / App Store,Rejected
10338,U66873,"2025-10-24",15300,GBP,846.0,48.0,"",Social Media Ads,Granted
10340,U83392,"2025-10-31",19700,GBP,652.0,12.0,Other / unspecified,Referral,Rejected
10342,U78129,"2025-10-24",2750,GBP,705.0,12.0,Wedding,Paid Search,Granted
10355,U93507,"2025-10-02",24700,GBP,795.0,24.0,Other / unspecified,Referral,Abandoned - No Documents Uploaded
10364,U59947,"2025-12-11",6450,GBP,724.0,6.0,Wedding,Direct / App Store,Abandoned - No Documents Uploaded
10366,U67806,"2025-12-03",17750,GBP,600.0,48.0,Wedding,"",Abandoned - Document Issues
10371,U82788,"2025-11-27",11050,GBP,764.0,24.0,Debt consolidation,Organic Search,Abandoned - No Documents Uploaded
10372,U46354,"2025-12-01",20700,GBP,637.0,36.0,Holiday / travel,Paid Search,Granted
10376,U33064,"2025-12-13",18400,GBP,668.0,36.0,Medical expenses,Organic Search,Rejected
10382,U24221,"2025-12-16",1200,GBP,606.0,12.0,Education / tuition,"",Rejected
10386,U18095,"2025-12-25",17600,GBP,,24.0,Holiday / travel,Direct / App Store,Granted
10388,U41390,"2025-10-11",19350,GBP,633.0,36.0,Car purchase,Paid Search,Granted
10389,U45609,"2025-10-24",4450,GBP,675.0,48.0,Business investment,Paid Search,Granted
10396,U91605,"2025-11-20",2750,GBP,549.0,36.0,Debt consolidation,"",Abandoned - No Documents Uploaded
10398,U46116,"2025-12-05",4100,GBP,637.0,48.0,Business investment,Social Media Ads,Abandoned - No Documents Uploaded
