"loan_id","risk_decision","risk_segment","rejection_reason","approved_amount","granted_amount","estimated_interest","final_interest_rate","loan_status","charge_off_flag","charge_off_date"
10002,,High Risk,,,,,,Submitted,0,
10003,Approved,Low Risk,,14600.0,14600.0,,3.81,Granted,0,
10005,Approved,Low Risk,,8450.0,8450.0,6.46,6.24,Granted,0,
10012,,Low Risk,,,,,,Docs Received,0,
10018,,Standard Risk,,,,,,Submitted,0,
10020,Approved,Low Risk,,23500.0,23500.0,4.81,4.87,Granted,0,
10024,Rejected,,Low credit score,,,,,Rejected,0,
10037,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
10038,Rejected,High Risk,Low credit score,,,,,Rejected,0,
10041,Approved,Standard Risk,,7700.0,7700.0,9.1,9.4,Granted,0,
10044,Approved,Standard Risk,,18800.0,18800.0,10.11,9.04,Granted,0,
10050,Approved,Standard Risk,,20400.0,,9.09,,Approved,0,
10059,Rejected,High Risk,Low credit score,,,,,Rejected,0,
10060,,Low Risk,,,,,,Submitted,0,
10063,Approved,Standard Risk,,8300.0,,,12.76,Signed,0,
10066,Rejected,High Risk,Low credit score,,,,,Rejected,0,
10081,,Low Risk,,,,,,Submitted,0,
10108,,Standard Risk,,,,,,Submitted,0,
10109,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
10110,Rejected,High Risk,Low credit score,,,,,Rejected,0,
10115,Rejected,High Risk,Low credit score,,,,,Rejected,0,
10118,,High Risk,,,,,,Submitted,0,
10121,,Standard Risk,,,,,,Submitted,0,
10134,,High Risk,,,,,,Submitted,0,
10137,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
10143,Approved,Low Risk,,17800.0,17800.0,7.02,7.41,Granted,0,
10144,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
10152,,Standard Risk,,,,,,Submitted,0,
10156,,Low Risk,,,,,,Submitted,0,
10157,,Standard Risk,,,,,,Submitted,0,
10161,Approved,Standard Risk,,4600.0,4600.0,10.1,10.61,Granted,0,
10162,Approved,,,26770.0,26770.0,10.51,9.84,Granted,0,
10170,,Standard Risk,,,,,,Submitted,0,
10175,,High Risk,,,,,,Submitted,0,
10179,,High Risk,,,,,,Submitted,0,
10180,Approved,Low Risk,,21050.0,21050.0,4.11,5.21,Granted,0,
10184,Approved,Standard Risk,,750.0,750.0,12.39,12.91,Granted,0,
10190,,Standard Risk,,,,,,Submitted,0,
10195,,High Risk,,,,,,Submitted,0,
10198,Rejected,,High debt-to-income ratio,,,,,Rejected,0,
10204,Approved,Low Risk,,750.0,750.0,4.55,5.18,Granted,0,
10220,Rejected,Standard Risk,Low credit score,,,,,Rejected,0,
10224,,Standard Risk,,,,,,Submitted,0,
10241,Rejected,Standard Risk,Other,,,,,Rejected,0,
10261,Rejected,High Risk,Low credit score,,,,,Rejected,0,
10266,,Low Risk,,,,,,Submitted,0,
10272,,Standard Risk,,,,,,Docs Received,0,
10276,Rejected,High Risk,Low credit score,,,,,Rejected,0,
10282,,Standard Risk,,,,,,Submitted,0,
10292,Rejected,High Risk,Low credit score,,,,,Rejected,0,
10297,,Standard Risk,,,,,,Submitted,0,
10299,,High Risk,,,,,,Submitted,0,
10302,,Standard Risk,,,,,,Docs Received,0,
10305,,Standard Risk,,,,,,Submitted,0,
10313,Approved,Standard Risk,,25000.0,25000.0,9.21,8.99,Granted,0,
10327,Approved,Low Risk,,3500.0,3500.0,7.28,7.66,Granted,0,
10333,Rejected,,Other,,,,,Rejected,0,
10334,Rejected,High Risk,Low credit score,,,,,Rejected,0,
10336,Rejected,Low Risk,Other,,,,,Rejected,0,
10338,Approved,Low Risk,,15300.0,15300.0,4.79,4.07,Granted,0,
10340,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
10342,Approved,Standard Risk,,2750.0,2750.0,11.58,11.35,Granted,0,
10355,,Low Risk,,,,,,Submitted,0,
10364,,Low Risk,,,,,,Submitted,0,
10366,,Standard Risk,,,,,,Docs Received,0,
10371,,Low Risk,,,,,,Submitted,0,
10372,Approved,Standard Risk,,20700.0,20700.0,9.56,8.25,Granted,0,
10376,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
10382,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
10386,Approved,Standard Risk,,17600.0,17600.0,9.67,9.69,Granted,0,
10388,Approved,Standard Risk,,21510.0,21510.0,14.49,14.39,Granted,0,
10389,Approved,Standard Risk,,4450.0,4450.0,12.75,12.49,Granted,0,
10396,,High Risk,,,,,,Submitted,0,
10398,,Standard Risk,,,,,,Submitted,0,
10399,,Standard Risk,,,,,,Submitted,0,
10403,,High Risk,,,,,,Docs Received,0,
10407,Rejected,Standard Risk,Low credit score,,,,,Rejected,0,
10415,,High Risk,,,,,,Submitted,0,
10418,Rejected,Standard Risk,Low credit score,,,,,Rejected,0,
10420,Rejected,Standard Risk,High debt-to-income ratio,,,,,Rejected,0,
10421,Rejected,High Risk,Low credit score,,,,,Rejected,0,
10426,,Standard Risk,,,,,,Submitted,0,
