event_id,loan_id,event_sequence,status,event_datetime,refusal_reason,document_issue_flag,fraud_flag
1,20790,1,Submitted,2025-12-13 20:30:00.000000,,0.0,0
2,20790,2,Docs Received,2025-12-14 15:46:37.838149,,0.0,0
3,20790,3,Credit Check,2025-12-17 07:55:42.515513,,0.0,0
4,20790,4,Approved,2025-12-19 04:54:41.683727,,0.0,0
5,20790,5,Signed,2025-12-19 18:29:10.117840,,0.0,0
6,20790,6,Granted,2025-12-21 00:05:18.433582,,0.0,0
7,95960,1,Submitted,2025-10-27 19:21:00.000000,,0.0,0
8,95960,2,Docs Received,2025-10-28 07:47:31.118267,,0.0,0
9,95960,3,Credit Check,2025-10-30 12:27:50.514510,,0.0,0
10,95960,4,Rejected,2025-10-31 10:49:53.587247,Low credit score,0.0,0
11,61310,1,Submitted,2025-10-28 09:27:00.000000,,0.0,0
12,20754,1,Submitted,2025-10-21 18:53:00.000000,,0.0,0
13,12169,1,Submitted,2025-12-25 08:26:00.000000,,0.0,0
14,12169,2,Docs Received,2025-12-25 13:49:19.103816,,0.0,0
15,12169,3,Credit Check,2025-12-29 12:15:42.463411,,0.0,0
16,12169,4,Approved,2025-12-29 22:55:42.906123,,0.0,0
17,12169,5,Signed,2025-12-31 19:21:01.811218,,0.0,0
18,12169,6,Granted,2026-01-01 01:02:32.163727,,0.0,0
19,33305,1,Submitted,2025-12-24 14:57:00.000000,,0.0,0
20,23740,1,Submitted,2025-11-28 17:19:00.000000,,0.0,0
21,23740,2,Docs Received,2025-12-02 05:45:22.121212,,0.0,0
22,23740,3,Credit Check,2025-12-05 21:25:11.259323,,0.0,0
23,23740,4,Rejected,2025-12-07 18:46:47.367781,Low credit score,0.0,0
24,83733,1,Submitted,2025-11-07 19:54:00.000000,,0.0,0
25,77274,1,Submitted,2025-11-24 14:34:00.000000,,0.0,0
26,77274,2,Docs Received,2025-11-25 12:38:33.904919,,1.0,0
27,47612,1,Submitted,2025-11-28 10:24:00.000000,,0.0,0
28,47612,2,Docs Received,2025-11-30 05:43:04.487719,,0.0,0
29,47612,3,Credit Check,2025-12-01 14:01:43.383909,,0.0,0
30,47612,4,Approved,2025-12-01 20:01:43.527450,,0.0,0
31,47612,5,Signed,2025-12-01 22:25:43.527450,,0.0,0
32,47612,6,Granted,2025-12-02 03:52:44.266010,,0.0,0
33,26127,1,Submitted,2025-12-22 13:15:00.000000,,0.0,0
34,26127,2,Docs Received,2025-12-23 01:49:38.290045,,0.0,0
35,26127,3,Credit Check,2025-12-28 17:02:24.131890,,0.0,0
36,26127,4,Approved,2025-12-29 20:24:35.439562,,0.0,0
37,26127,5,Signed,2025-12-31 09:18:57.102015,,0.0,0
38,26127,6,Granted,2025-12-31 11:23:51.441871,,0.0,0
39,73501,1,Submitted,2025-11-16 13:15:00.000000,,0.0,0
40,73501,2,Docs Received,2025-11-17 03:45:20.494319,,1.0,0
41,91233,1,Submitted,2025-10-20 13:50:00.000000,,0.0,0
42,93728,1,Submitted,2025-11-08 11:27:00.000000,,0.0,0
43,93728,2,Docs Received,2025-11-10 05:07:41.337365,,0.0,0
44,93728,3,Credit Check,2025-11-12 00:53:52.784373,,0.0,0
45,93728,4,Rejected,2025-11-13 09:02:09.460619,High debt-to-income ratio,0.0,0
46,96519,1,Submitted,2025-12-10 19:34:00.000000,,0.0,0
47,51396,1,Submitted,2025-11-16 13:07:00.000000,,0.0,0
48,51396,2,Docs Received,2025-11-17 18:11:43.453277,,1.0,0
49,29126,1,Submitted,2025-10-01 16:38:00.000000,,0.0,0
50,29126,2,Docs Received,2025-10-02 21:34:53.768385,,1.0,0
51,65747,1,Submitted,2025-10-19 10:30:00.000000,,0.0,0
52,64220,1,Submitted,2025-11-09 12:16:00.000000,,0.0,0
53,64220,2,Docs Received,2025-11-09 13:37:59.407888,,0.0,0
54,64220,3,Credit Check,2025-11-11 16:24:05.866725,,0.0,0
55,64220,4,Rejected,2025-11-12 18:22:02.231616,Low credit score,0.0,0
